"Dataset","n","Opt","Group","Method","p","q","Time","GRR","BRR","SD","GRCV","BRCV","Gap_0","Gap_2.5","Gap_5","Gap_7.5","Gap_10","Gap_12.5","Gap_15","Gap_17.5","Gap_20","Gap_22.5","Gap_25","Gap_27.5","Gap_30","Gap_32.5","Gap_35","Gap_37.5","Gap_40","Gap_42.5","Gap_45","Gap_47.5","Gap_50","Gap_52.5","Gap_55","Gap_57.5","Gap_60","Gap_62.5","Gap_65","Gap_67.5","Gap_70","Gap_72.5","Gap_75","Gap_77.5","Gap_80","Gap_82.5","Gap_85","Gap_87.5","Gap_90","Gap_92.5","Gap_95","Gap_97.5","Gap_100"
"ali535",535,202310,"FI","tpn_a_FI",0,0.618,0.726091999999993,1.19305290831415,70.7968018721427,3156.23383707427,0.799834899727825,0.958055309253219,5.31214472838713,6.256289852207,6.69017843902921,6.93008254658692,7.08734120903564,7.29956502397311,7.44199495823241,7.54012406702585,7.63135781721121,7.77318224506946,7.92064158963966,8.02234195047205,8.10375166823193,8.20409272898028,8.34980969798824,8.42358262073056,8.52315753052247,8.66545153477337,8.73389847264099,8.83799614453067,8.95506895358608,9.04651277742079,9.20416687262123,9.25799515594878,9.35791606939845,9.48019129059364,9.57458850279275,9.63513914289951,9.69744451584202,9.80667045623054,9.9684889525975,10.1172952399782,10.2545598339182,10.4480870940636,10.6231773021601,10.7965498492413,10.9674262270773,11.2843285057585,11.7245316593347,12.4596411447778,14.456527111858
"ali535",535,202310,"FI","tp_c_FI",0,0.688,0.707912000000011,1.16318107131122,69.0241809673066,2746.95436355884,0.698560076124425,0.836746671083094,5.26963570757748,5.97400029657456,6.37882457614552,6.761900054372,6.87855271612871,7.28337699569967,7.3886609658445,7.49938213632544,7.56116850378133,7.58143443230686,7.72206020463645,7.87652612327616,7.94325540012852,8.05743660718699,8.06633384410064,8.09796846423805,8.12614304779793,8.33028520587218,8.47461816024912,8.56902772972171,8.65997726261678,8.73016657604666,8.80579308981266,8.86563936533044,8.95655182640502,8.99634224704661,9.10236765360091,9.17601700360832,9.23117987247294,9.32704760021748,9.44935989323316,9.58874993821363,9.82146211259947,9.88302604913252,9.96930453264791,10.1067668429638,10.3980524936978,10.5674459987148,10.8299639167614,11.2698334239533,13.4476793040384
"ali535",535,202310,"FI","tpn_c_FI",0,0.522,0.729964000000013,1.1994150509366,71.1743369735491,3194.84928915667,0.804766480997424,0.963962437861837,5.61860511096832,6.72150412732934,7.27756907715882,7.54706885472788,7.78631802679057,7.88511442835253,8.00556077307102,8.1839009440957,8.35460432010282,8.49598388611537,8.61685037813257,8.69613464485196,8.80796796994712,8.89307251248085,8.96703079432555,9.04799565023973,9.19035144085809,9.28558894765458,9.35757006574069,9.44765458949137,9.5568681726064,9.66683554940438,9.7979091493253,9.94017843902922,10.056052592556,10.1572463051752,10.2602194651772,10.3838663437299,10.5189560575355,10.6217685729821,10.7147446987297,10.8126884484207,10.9837378280856,11.1553309277841,11.3020117641244,11.3624511887697,11.6422322178834,11.8564826256735,12.4560328209184,13.1946394147595,15.1282684988384
"ali535",535,202310,"FI","tp_s_FI",0,0.712,0.749787999999989,1.23198816956949,73.1072542902413,3900.85841994103,0.993556791587802,1.190098556026,5.39567989718748,5.803914784242,5.91962829321339,6.07028817161781,6.0999950570906,6.12426474222727,6.20599574909791,6.37882457614552,6.44743215856854,6.96011072117048,6.99668825070437,7.34516336315555,7.4726904255845,7.61603479808215,7.66249814640898,7.70859077653107,7.78359942662251,7.84375463397755,7.97933863872275,8.27174880134448,8.41480895655183,8.49928327813751,8.52503583609312,8.57397063911819,8.63447185013098,8.76346942810538,8.99666353615739,9.11966783648856,9.28426671939103,9.36492264346794,9.50867480599081,9.62432652859472,9.75582027581435,10.0708813207454,10.166625475755,10.5610202164994,11.0429044535614,11.486011566408,12.1402303395779,12.8545301764619,16.3377984281548
"ali535",535,202310,"FI","tpn_s_FI",0.002,0.582,0.799223999999976,1.31321721984879,77.927457098357,3475.53942095745,0.878489395262621,1.05226894892984,4.37150907023874,6.37763827789037,6.71852602441797,6.97224556373881,7.15871682072067,7.3855716474717,7.51112154614206,7.65922346893382,7.87415352676586,7.98687657555237,8.0596609164154,8.18210913943948,8.27596263160497,8.40271118580397,8.51744847016955,8.66615589936236,8.77405961148732,8.85326973456576,8.95499480994514,9.05887005091197,9.17725273095744,9.28270970293115,9.45447580445851,9.55271612871335,9.61465078345114,9.69180959913005,9.79024763976075,9.88617715387277,10.0169541792299,10.2266571103752,10.4435025455983,10.5928154811922,10.7953141218921,10.909001038011,11.135781721121,11.3084499036133,11.5485640848203,11.918083634027,12.3132568830013,12.9956873115516,15.5568187435124
"ali535",535,202310,"FI","tp_w_FI",0,0.694,0.745960000000009,1.22569832402236,72.7340093604458,2552.44499746305,0.650646795595591,0.779355360938952,5.5281498690129,6.68775641342494,6.74311699866541,6.94824773861895,6.97741090405813,7.14349265977955,7.17616529089022,7.23295931985567,7.39162671148238,7.45257278434087,7.5063022094805,7.58786021452227,7.64025505412486,7.78162226286392,7.80781968266522,7.84390292125945,7.91349908556176,7.98127873066088,8.07584894468884,8.18846077801395,8.22796698136523,8.25416440116653,8.37716870149769,8.42172902970688,8.49438979783501,8.54894716029855,8.57545351193713,8.63872275221195,8.72448223024072,8.76773268745984,9.03217834017103,9.16267114823785,9.34031931194702,9.51954920666304,9.6125994760516,9.79363353269735,9.99619395976473,10.1923409618902,10.8287281894123,11.7033883643913,14.180712767535
"ali535",535,202310,"FI","tpn_w_FI",0.002,0.674,0.715664000000013,1.17591850147883,69.7800312013169,2912.4684064761,0.740608510316938,0.887112972475582,4.38386634372992,6.00109979734072,6.37961544164896,6.65901339528447,6.86565172260392,7.08152093322129,7.19823538134546,7.29718007018931,7.39133013691859,7.49033661212991,7.63111067174139,7.73386140082052,7.81953437793486,7.916674904849,8.00778508229944,8.08313973604864,8.14878157283376,8.23986703573724,8.33638969897682,8.51916613118482,8.59398942217389,8.67994661657853,8.7519648064851,8.86505857347634,8.95922099747913,9.05738717809303,9.21506598784044,9.32313034452078,9.44926103504522,9.54431318273936,9.60691513024566,9.70137412881222,9.8561613365627,10.0184864811428,10.2216894864317,10.3366121298997,10.533587069349,10.6464336908704,10.9115466363502,11.4829098907617,13.2554001285156
"ali535",535,202310,"NI","NI",NA,NA,0.566388000000035,1,55.225039001617,1120.86871280212,1,0.300506083830679,21.8392565864268,22.255536058524,22.3265533092778,22.3767609114725,22.4926597795462,22.5367628886363,22.7135831150215,22.7966363501557,22.9687113835203,23.0803346349661,23.1766842963768,23.2539172556967,23.2837724284514,23.3542583164451,23.3814443181256,23.4209875932974,23.4348277396075,23.4814764470367,23.5204389303544,23.5372448223024,23.563096238446,23.5949038604122,23.6264890514557,23.6553309277841,23.6819732094311,23.7027334288962,23.7294992832781,23.7460580297563,23.7644703672582,23.7970317829074,23.8208689634719,23.8484133260837,23.8784044288468,23.8978177055015,23.9236814789185,23.9753966684791,24.005585487618,24.0484405120854,24.152612327616,24.2606766842964,24.4253867826603
"ali535",535,202310,"NI","NI",0,0,0.566388000000035,1,55.225039001617,1120.86871280212,1,0.300506083830679,21.8392565864268,22.255536058524,22.3265533092778,22.3767609114725,22.4926597795462,22.5367628886363,22.7135831150215,22.7966363501557,22.9687113835203,23.0803346349661,23.1766842963768,23.2539172556967,23.2837724284514,23.3542583164451,23.3814443181256,23.4209875932974,23.4348277396075,23.4814764470367,23.5204389303544,23.5372448223024,23.563096238446,23.5949038604122,23.6264890514557,23.6553309277841,23.6819732094311,23.7027334288962,23.7294992832781,23.7460580297563,23.7644703672582,23.7970317829074,23.8208689634719,23.8484133260837,23.8784044288468,23.8978177055015,23.9236814789185,23.9753966684791,24.005585487618,24.0484405120854,24.152612327616,24.2606766842964,24.4253867826603
"ali535",535,202310,"NI","tp_a_NI",1,1,0.670759999999963,1.18427650303312,65.4017160687025,1843.1228486203,1.70363816248231,0.511953632472052,17.1014779299095,17.4751618802827,17.4751618802827,17.4751618802827,17.5102565369977,17.5102565369977,17.5102565369977,17.8088082645445,17.8453857940784,18.7771242153131,18.7771242153131,18.7782363699273,19.2155602787801,19.2229746428748,19.2383965201918,19.3944935989323,19.3944935989323,19.3946048143937,19.4063565814839,19.4063565814839,19.4384854925609,19.5037318965943,19.5576096090159,19.5576096090159,19.5828184469379,19.5902328110326,19.5902328110326,19.6356210765657,19.6727793979536,19.679205180169,19.697493944936,19.7770747862192,19.7770747862192,19.8212891107706,19.8923681478918,19.9923384904355,20.0993524788691,20.1112154614206,20.16805891948,20.20589689091,20.3969156245366
